pid,pid2,weight
IORG,NXJE,120
IORG,BULZ,126
IORG,YLJS,962
IORG,WHTA,518
IORG,JZDA,176
IORG,GHBQ,3858
IORG,DHTP,455
IORG,ASVM,108
IORG,XEQF,1531
IORG,FMXH,177
IORG,UXSI,193
IORG,DWIZ,239
IORG,EGCH,217
IORG,TKWL,971
IORG,LJIP,13
IORG,KPYJ,96
IORG,MHXZ,124
IORG,PVWT,2536
IORG,YLZX,1230
IORG,RLUX,363
IORG,LUSO,153
IORG,VCBF,88
IORG,QWSB,21
IORG,MIGL,1320
IORG,XKVA,2
IORG,AQDP,22
IORG,LSTW,12
IORG,JVMZ,340
IORG,LEXT,78
IORG,NEWY,204
IORG,AMIE,1429
IORG,WDUB,602
NXJE,BULZ,2030
NXJE,YLJS,25
NXJE,WHTA,21
NXJE,JZDA,3
NXJE,GHBQ,133
NXJE,DHTP,1757
NXJE,ASVM,305
NXJE,XEQF,53
NXJE,FMXH,931
NXJE,UXSI,643
NXJE,DWIZ,119
NXJE,EGCH,6
NXJE,TKWL,38
NXJE,LJIP,201
NXJE,SQRL,30
NXJE,KPYJ,416
NXJE,MHXZ,547
NXJE,PVWT,160
NXJE,YLZX,122
NXJE,RLUX,449
NXJE,LUSO,421
NXJE,VCBF,670
NXJE,QWSB,126
NXJE,MIGL,87
NXJE,XKVA,81
NXJE,AQDP,488
NXJE,LSTW,711
NXJE,JVMZ,25
NXJE,LEXT,79
NXJE,NEWY,2
NXJE,AMIE,311
NXJE,WDUB,21
BULZ,YLJS,99
BULZ,WHTA,275
BULZ,JZDA,129
BULZ,GHBQ,186
BULZ,DHTP,907
BULZ,ASVM,371
BULZ,XEQF,81
BULZ,FMXH,739
BULZ,UXSI,1632
BULZ,DWIZ,836
BULZ,EGCH,13
BULZ,TKWL,123
BULZ,LJIP,160
BULZ,SQRL,156
BULZ,KPYJ,493
BULZ,MHXZ,1638
BULZ,PVWT,225
BULZ,YLZX,152
BULZ,RLUX,794
BULZ,LUSO,768
BULZ,VCBF,915
BULZ,QWSB,627
BULZ,MIGL,128
BULZ,XKVA,82
BULZ,AQDP,795
BULZ,LSTW,585
BULZ,JVMZ,78
BULZ,LEXT,72
BULZ,NEWY,99
BULZ,AMIE,687
BULZ,WDUB,51
YLJS,WHTA,421
YLJS,JZDA,77
YLJS,GHBQ,1413
YLJS,DHTP,525
YLJS,ASVM,22
YLJS,XEQF,468
YLJS,AKRX,17
YLJS,FMXH,16
YLJS,UXSI,66
YLJS,DWIZ,17
YLJS,EGCH,103
YLJS,TKWL,1498
YLJS,LJIP,14
YLJS,KPYJ,204
YLJS,MHXZ,109
YLJS,PVWT,5524
YLJS,YLZX,340
YLJS,RLUX,172
YLJS,LUSO,140
YLJS,VCBF,78
YLJS,QWSB,128
YLJS,MIGL,498
YLJS,XKVA,26
YLJS,AQDP,165
YLJS,LSTW,26
YLJS,JVMZ,12
YLJS,LEXT,13
YLJS,NEWY,103
YLJS,AMIE,1062
YLJS,WDUB,102
WHTA,JZDA,1567
WHTA,GHBQ,1201
WHTA,DHTP,639
WHTA,ASVM,6
WHTA,XEQF,293
WHTA,AKRX,79
WHTA,FMXH,14
WHTA,UXSI,286
WHTA,DWIZ,5
WHTA,EGCH,71
WHTA,TKWL,761
WHTA,LJIP,199
WHTA,KPYJ,370
WHTA,MHXZ,2936
WHTA,PVWT,1075
WHTA,YLZX,542
WHTA,RLUX,83
WHTA,LUSO,760
WHTA,VCBF,28
WHTA,QWSB,6
WHTA,MIGL,300
WHTA,XKVA,19
WHTA,AQDP,37
WHTA,LSTW,86
WHTA,LEXT,4
WHTA,NEWY,242
WHTA,AMIE,983
JZDA,GHBQ,227
JZDA,DHTP,124
JZDA,ASVM,181
JZDA,XEQF,65
JZDA,AKRX,30
JZDA,FMXH,5
JZDA,UXSI,166
JZDA,DWIZ,5
JZDA,EGCH,273
JZDA,TKWL,159
JZDA,LJIP,5
JZDA,KPYJ,266
JZDA,MHXZ,1296
JZDA,PVWT,382
JZDA,YLZX,77
JZDA,RLUX,27
JZDA,LUSO,88
JZDA,VCBF,17
JZDA,QWSB,5
JZDA,MIGL,224
JZDA,XKVA,2
JZDA,AQDP,30
JZDA,LSTW,1
JZDA,JVMZ,16
JZDA,LEXT,14
JZDA,NEWY,255
JZDA,AMIE,538
JZDA,WDUB,62
GHBQ,DHTP,388
GHBQ,ASVM,44
GHBQ,XEQF,1779
GHBQ,AKRX,55
GHBQ,FMXH,65
GHBQ,UXSI,475
GHBQ,DWIZ,261
GHBQ,EGCH,178
GHBQ,TKWL,809
GHBQ,LJIP,25
GHBQ,KPYJ,77
GHBQ,MHXZ,238
GHBQ,PVWT,7083
GHBQ,YLZX,1054
GHBQ,RLUX,468
GHBQ,LUSO,248
GHBQ,VCBF,65
GHBQ,QWSB,98
GHBQ,MIGL,1076
GHBQ,XKVA,9
GHBQ,AQDP,36
GHBQ,LSTW,42
GHBQ,JVMZ,27
GHBQ,LEXT,61
GHBQ,NEWY,180
GHBQ,AMIE,920
GHBQ,WDUB,145
DHTP,ASVM,134
DHTP,XEQF,228
DHTP,AKRX,44
DHTP,FMXH,38
DHTP,UXSI,425
DHTP,DWIZ,52
DHTP,EGCH,123
DHTP,TKWL,1883
DHTP,LJIP,33
DHTP,KPYJ,154
DHTP,MHXZ,258
DHTP,PVWT,491
DHTP,YLZX,762
DHTP,RLUX,124
DHTP,LUSO,220
DHTP,VCBF,35
DHTP,QWSB,39
DHTP,MIGL,345
DHTP,XKVA,8
DHTP,AQDP,95
DHTP,LSTW,71
DHTP,JVMZ,19
DHTP,LEXT,40
DHTP,NEWY,60
DHTP,AMIE,2294
DHTP,WDUB,21
ASVM,XEQF,17
ASVM,AKRX,1
ASVM,FMXH,373
ASVM,UXSI,1703
ASVM,DWIZ,86
ASVM,EGCH,24
ASVM,TKWL,9
ASVM,LJIP,364
ASVM,SQRL,43
ASVM,KPYJ,736
ASVM,MHXZ,197
ASVM,PVWT,182
ASVM,YLZX,29
ASVM,RLUX,93
ASVM,LUSO,153
ASVM,VCBF,86
ASVM,QWSB,101
ASVM,MIGL,536
ASVM,XKVA,102
ASVM,AQDP,46
ASVM,LSTW,65
ASVM,JVMZ,459
ASVM,LEXT,359
ASVM,NEWY,70
ASVM,AMIE,393
ASVM,WDUB,121
XEQF,AKRX,39
XEQF,FMXH,133
XEQF,UXSI,235
XEQF,DWIZ,411
XEQF,EGCH,119
XEQF,TKWL,743
XEQF,LJIP,24
XEQF,KPYJ,172
XEQF,MHXZ,122
XEQF,PVWT,814
XEQF,YLZX,629
XEQF,RLUX,424
