pid,pid2,weight
0x3d27d,0x51c1f,120
0x3d27d,0x6f7f8,126
0x3d27d,0x5bcd8,962
0x3d27d,0x89408,518
0x3d27d,0x57453,176
0x3d27d,0xc2f89,3858
0x3d27d,0x399a6,455
0x3d27d,0x31cb7,108
0x3d27d,0xd686,1531
0x3d27d,0x5f4f4,177
0x3d27d,0x9a4e7,193
0x3d27d,0xbacde,239
0x3d27d,0xded9c,217
0x3d27d,0x416a0,971
0x3d27d,0x6c036,13
0x3d27d,0xdbef,96
0x3d27d,0x98d89,124
0x3d27d,0xd2ce5,2536
0x3d27d,0x9596c,1230
0x3d27d,0xd57c8,363
0x3d27d,0x868a8,153
0x3d27d,0xede5c,88
0x3d27d,0x168e,21
0x3d27d,0x81e2e,1320
0x3d27d,0x785c0,2
0x3d27d,0x703b2,22
0x3d27d,0x28218,12
0x3d27d,0x6bf70,340
0x3d27d,0xa79ed,78
0x3d27d,0x953ec,204
0x3d27d,0xe63ba,1429
0x3d27d,0x6e61,602
0x51c1f,0x6f7f8,2030
0x51c1f,0x5bcd8,25
0x51c1f,0x89408,21
0x51c1f,0x57453,3
0x51c1f,0xc2f89,133
0x51c1f,0x399a6,1757
0x51c1f,0x31cb7,305
0x51c1f,0xd686,53
0x51c1f,0x5f4f4,931
0x51c1f,0x9a4e7,643
0x51c1f,0xbacde,119
0x51c1f,0xded9c,6
0x51c1f,0x416a0,38
0x51c1f,0x6c036,201
0x51c1f,0x19084,30
0x51c1f,0xdbef,416
0x51c1f,0x98d89,547
0x51c1f,0xd2ce5,160
0x51c1f,0x9596c,122
0x51c1f,0xd57c8,449
0x51c1f,0x868a8,421
0x51c1f,0xede5c,670
0x51c1f,0x168e,126
0x51c1f,0x81e2e,87
0x51c1f,0x785c0,81
0x51c1f,0x703b2,488
0x51c1f,0x28218,711
0x51c1f,0x6bf70,25
0x51c1f,0xa79ed,79
0x51c1f,0x953ec,2
0x51c1f,0xe63ba,311
0x51c1f,0x6e61,21
0x6f7f8,0x5bcd8,99
0x6f7f8,0x89408,275
0x6f7f8,0x57453,129
0x6f7f8,0xc2f89,186
0x6f7f8,0x399a6,907
0x6f7f8,0x31cb7,371
0x6f7f8,0xd686,81
0x6f7f8,0x5f4f4,739
0x6f7f8,0x9a4e7,1632
0x6f7f8,0xbacde,836
0x6f7f8,0xded9c,13
0x6f7f8,0x416a0,123
0x6f7f8,0x6c036,160
0x6f7f8,0x19084,156
0x6f7f8,0xdbef,493
0x6f7f8,0x98d89,1638
0x6f7f8,0xd2ce5,225
0x6f7f8,0x9596c,152
0x6f7f8,0xd57c8,794
0x6f7f8,0x868a8,768
0x6f7f8,0xede5c,915
0x6f7f8,0x168e,627
0x6f7f8,0x81e2e,128
0x6f7f8,0x785c0,82
0x6f7f8,0x703b2,795
0x6f7f8,0x28218,585
0x6f7f8,0x6bf70,78
0x6f7f8,0xa79ed,72
0x6f7f8,0x953ec,99
0x6f7f8,0xe63ba,687
0x6f7f8,0x6e61,51
0x5bcd8,0x89408,421
0x5bcd8,0x57453,77
0x5bcd8,0xc2f89,1413
0x5bcd8,0x399a6,525
0x5bcd8,0x31cb7,22
0x5bcd8,0xd686,468
0x5bcd8,0x26ea5,17
0x5bcd8,0x5f4f4,16
0x5bcd8,0x9a4e7,66
0x5bcd8,0xbacde,17
0x5bcd8,0xded9c,103
0x5bcd8,0x416a0,1498
0x5bcd8,0x6c036,14
0x5bcd8,0xdbef,204
0x5bcd8,0x98d89,109
0x5bcd8,0xd2ce5,5524
0x5bcd8,0x9596c,340
0x5bcd8,0xd57c8,172
0x5bcd8,0x868a8,140
0x5bcd8,0xede5c,78
0x5bcd8,0x168e,128
0x5bcd8,0x81e2e,498
0x5bcd8,0x785c0,26
0x5bcd8,0x703b2,165
0x5bcd8,0x28218,26
0x5bcd8,0x6bf70,12
0x5bcd8,0xa79ed,13
0x5bcd8,0x953ec,103
0x5bcd8,0xe63ba,1062
0x5bcd8,0x6e61,102
0x89408,0x57453,1567
0x89408,0xc2f89,1201
0x89408,0x399a6,639
0x89408,0x31cb7,6
0x89408,0xd686,293
0x89408,0x26ea5,79
0x89408,0x5f4f4,14
0x89408,0x9a4e7,286
0x89408,0xbacde,5
0x89408,0xded9c,71
0x89408,0x416a0,761
0x89408,0x6c036,199
0x89408,0xdbef,370
0x89408,0x98d89,2936
0x89408,0xd2ce5,1075
0x89408,0x9596c,542
0x89408,0xd57c8,83
0x89408,0x868a8,760
0x89408,0xede5c,28
0x89408,0x168e,6
0x89408,0x81e2e,300
0x89408,0x785c0,19
0x89408,0x703b2,37
0x89408,0x28218,86
0x89408,0xa79ed,4
0x89408,0x953ec,242
0x89408,0xe63ba,983
0x57453,0xc2f89,227
0x57453,0x399a6,124
0x57453,0x31cb7,181
0x57453,0xd686,65
0x57453,0x26ea5,30
0x57453,0x5f4f4,5
0x57453,0x9a4e7,166
0x57453,0xbacde,5
0x57453,0xded9c,273
0x57453,0x416a0,159
0x57453,0x6c036,5
0x57453,0xdbef,266
0x57453,0x98d89,1296
0x57453,0xd2ce5,382
0x57453,0x9596c,77
0x57453,0xd57c8,27
0x57453,0x868a8,88
0x57453,0xede5c,17
0x57453,0x168e,5
0x57453,0x81e2e,224
0x57453,0x785c0,2
0x57453,0x703b2,30
0x57453,0x28218,1
0x57453,0x6bf70,16
0x57453,0xa79ed,14
0x57453,0x953ec,255
0x57453,0xe63ba,538
0x57453,0x6e61,62
0xc2f89,0x399a6,388
0xc2f89,0x31cb7,44
0xc2f89,0xd686,1779
0xc2f89,0x26ea5,55
0xc2f89,0x5f4f4,65
0xc2f89,0x9a4e7,475
0xc2f89,0xbacde,261
0xc2f89,0xded9c,178
0xc2f89,0x416a0,809
0xc2f89,0x6c036,25
0xc2f89,0xdbef,77
0xc2f89,0x98d89,238
0xc2f89,0xd2ce5,7083
0xc2f89,0x9596c,1054
0xc2f89,0xd57c8,468
0xc2f89,0x868a8,248
0xc2f89,0xede5c,65
0xc2f89,0x168e,98
0xc2f89,0x81e2e,1076
0xc2f89,0x785c0,9
0xc2f89,0x703b2,36
0xc2f89,0x28218,42
0xc2f89,0x6bf70,27
0xc2f89,0xa79ed,61
0xc2f89,0x953ec,180
0xc2f89,0xe63ba,920
0xc2f89,0x6e61,145
0x399a6,0x31cb7,134
0x399a6,0xd686,228
0x399a6,0x26ea5,44
0x399a6,0x5f4f4,38
0x399a6,0x9a4e7,425
0x399a6,0xbacde,52
0x399a6,0xded9c,123
0x399a6,0x416a0,1883
0x399a6,0x6c036,33
0x399a6,0xdbef,154
0x399a6,0x98d89,258
0x399a6,0xd2ce5,491
0x399a6,0x9596c,762
0x399a6,0xd57c8,124
0x399a6,0x868a8,220
0x399a6,0xede5c,35
0x399a6,0x168e,39
0x399a6,0x81e2e,345
0x399a6,0x785c0,8
0x399a6,0x703b2,95
0x399a6,0x28218,71
0x399a6,0x6bf70,19
0x399a6,0xa79ed,40
0x399a6,0x953ec,60
0x399a6,0xe63ba,2294
0x399a6,0x6e61,21
0x31cb7,0xd686,17
0x31cb7,0x26ea5,1
0x31cb7,0x5f4f4,373
0x31cb7,0x9a4e7,1703
0x31cb7,0xbacde,86
0x31cb7,0xded9c,24
0x31cb7,0x416a0,9
0x31cb7,0x6c036,364
0x31cb7,0x19084,43
0x31cb7,0xdbef,736
0x31cb7,0x98d89,197
0x31cb7,0xd2ce5,182
0x31cb7,0x9596c,29
0x31cb7,0xd57c8,93
0x31cb7,0x868a8,153
0x31cb7,0xede5c,86
0x31cb7,0x168e,101
0x31cb7,0x81e2e,536
0x31cb7,0x785c0,102
0x31cb7,0x703b2,46
0x31cb7,0x28218,65
0x31cb7,0x6bf70,459
0x31cb7,0xa79ed,359
